epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5899.37,0.73913,0.38609,1.03827,0.99913,1,0.995,0.77125,0.89084,0.34271,1.17489,0.0007724,0.0007724,0.0007724
64,5986.31,0.72449,0.37692,1.0296,0.99925,1,0.995,0.77156,0.8904,0.33813,1.168,0.0007526,0.0007526,0.0007526
65,6074.15,0.7252,0.37923,1.02906,0.99922,1,0.995,0.77839,0.85946,0.3381,1.17842,0.0007328,0.0007328,0.0007328
66,6163.89,0.70883,0.37257,1.02494,0.99923,1,0.995,0.75874,0.92621,0.34133,1.1979,0.000713,0.000713,0.000713
67,6251.92,0.71696,0.37026,1.01961,0.99919,1,0.995,0.75947,0.89915,0.33264,1.16769,0.0006932,0.0006932,0.0006932
68,6339.35,0.74714,0.36906,1.04209,0.9992,1,0.995,0.77509,0.89947,0.34912,1.16809,0.0006734,0.0006734,0.0006734
69,6428.33,0.70601,0.35963,1.02572,0.99923,1,0.995,0.77909,0.89335,0.33809,1.18922,0.0006536,0.0006536,0.0006536
70,6518.33,0.71871,0.36487,1.02747,0.99923,1,0.995,0.79143,0.88002,0.33462,1.16229,0.0006338,0.0006338,0.0006338
71,6606.44,0.69298,0.35198,1.01477,0.99923,1,0.995,0.77239,0.91484,0.34192,1.2047,0.000614,0.000614,0.000614
72,6693.97,0.7093,0.3608,1.01869,0.99922,1,0.995,0.78324,0.86952,0.31309,1.17499,0.0005942,0.0005942,0.0005942
73,6781.83,0.69992,0.35031,1.00534,0.99918,1,0.995,0.79556,0.85246,0.32402,1.16112,0.0005744,0.0005744,0.0005744
74,6870.43,0.6982,0.34434,1.01868,0.9992,1,0.995,0.79423,0.85288,0.30819,1.14493,0.0005546,0.0005546,0.0005546
75,6958.19,0.68726,0.34408,1.01526,0.99924,1,0.995,0.78297,0.89548,0.31971,1.18662,0.0005348,0.0005348,0.0005348
76,7046.96,0.68873,0.34946,1.01174,0.99922,1,0.995,0.78947,0.88333,0.31543,1.17616,0.000515,0.000515,0.000515
77,7136.12,0.6806,0.34075,1.00048,0.99923,1,0.995,0.79206,0.88026,0.32683,1.21258,0.0004952,0.0004952,0.0004952
78,7223.1,0.6636,0.33304,1.00936,0.99921,1,0.995,0.77781,0.8895,0.32707,1.21337,0.0004754,0.0004754,0.0004754
79,7313.07,0.67298,0.33217,1.00049,0.99854,1,0.995,0.78248,0.87374,0.32963,1.18307,0.0004556,0.0004556,0.0004556
80,7404.13,0.68624,0.34465,1.01543,0.99924,1,0.995,0.77664,0.87124,0.31778,1.18601,0.0004358,0.0004358,0.0004358
81,7493.57,0.67498,0.3365,1.0094,0.99924,1,0.995,0.79045,0.8292,0.32076,1.14768,0.000416,0.000416,0.000416
82,7583.77,0.67494,0.34676,1.00894,0.99922,1,0.995,0.78637,0.87442,0.33018,1.17136,0.0003962,0.0003962,0.0003962
83,7672.9,0.66477,0.33763,1.00375,0.99923,1,0.995,0.7863,0.87968,0.32009,1.16148,0.0003764,0.0003764,0.0003764
84,7761.16,0.65946,0.32359,1.00549,0.99924,1,0.995,0.77356,0.86294,0.31439,1.15983,0.0003566,0.0003566,0.0003566
85,7849.86,0.64151,0.32338,0.99367,0.99379,1,0.995,0.77039,0.88575,0.34019,1.18939,0.0003368,0.0003368,0.0003368
86,7939.43,0.67793,0.33181,1.00465,0.97461,1,0.995,0.77841,0.87235,0.32515,1.19001,0.000317,0.000317,0.000317
87,8027.95,0.6376,0.3136,0.9905,0.99284,1,0.995,0.78176,0.88493,0.32425,1.19448,0.0002972,0.0002972,0.0002972
88,8117.6,0.63409,0.3184,0.98879,0.99549,1,0.995,0.77379,0.8895,0.33396,1.20832,0.0002774,0.0002774,0.0002774
89,8205.92,0.63083,0.31668,0.98036,0.99628,1,0.995,0.78373,0.87808,0.31735,1.19739,0.0002576,0.0002576,0.0002576
90,8293.7,0.63188,0.31346,0.99143,0.99878,1,0.995,0.79222,0.86927,0.29659,1.17804,0.0002378,0.0002378,0.0002378
91,8379.13,0.61096,0.30681,0.99454,0.99919,1,0.995,0.77588,0.88627,0.30626,1.18939,0.000218,0.000218,0.000218
92,8464.43,0.58498,0.27544,0.9651,0.99914,1,0.995,0.7725,0.87947,0.30343,1.19472,0.0001982,0.0001982,0.0001982
93,8551.32,0.57848,0.26063,0.97962,0.99922,1,0.995,0.76992,0.89861,0.31722,1.20337,0.0001784,0.0001784,0.0001784
94,8637.23,0.5799,0.25277,0.96863,0.99918,1,0.995,0.77681,0.8883,0.31346,1.1959,0.0001586,0.0001586,0.0001586
95,8723.25,0.573,0.25985,0.96166,0.99921,1,0.995,0.77651,0.87904,0.30565,1.18344,0.0001388,0.0001388,0.0001388
96,8810.54,0.54993,0.25317,0.94717,0.9992,1,0.995,0.77795,0.87706,0.31477,1.19209,0.000119,0.000119,0.000119
97,8899.83,0.54755,0.24922,0.96023,0.99922,1,0.995,0.78154,0.87316,0.30537,1.18856,9.92e-05,9.92e-05,9.92e-05
98,8988.33,0.5495,0.25031,0.94715,0.99924,1,0.995,0.77816,0.88219,0.30897,1.20241,7.94e-05,7.94e-05,7.94e-05
99,9075.72,0.53451,0.24854,0.94508,0.99923,1,0.995,0.78001,0.88389,0.30922,1.19905,5.96e-05,5.96e-05,5.96e-05
100,9163.25,0.53933,0.24186,0.9609,0.99923,1,0.995,0.77586,0.88644,0.31136,1.197,3.98e-05,3.98e-05,3.98e-05
